kind,id,page,system,measure,staff,onset,slot,qstamp,x,y,glyph,staff_top,stem_x,stem_y1,stem_y2,accid,accid_x,dot_x,dot_y,x2,y2,flag
clef,ydh4z9k,1,0,0,1,-1,-1,,90,1080,E050,540,,,,,,,,,,
keysig,zgf8e2v,1,0,0,1,-1,-1,,,,,540,,,,,,,,,,
metersig,a1f099au,1,0,0,1,-1,-1,,721,720,E084,540,,,,,,,,,,
note,w1cybpcc,1,0,0,1,0,0,0,1293,1440,E0A4,540,1510,1412,810,,,,,,,
note,yv3lqdm,1,0,0,1,1,0,1,2030,1440,E0A4,540,2247,1412,810,,,,,,,
note,a1pfogn4,1,0,0,1,2,0,2,2767,1350,E0A4,540,2984,1322,720,,,,,,,
note,c1ahluu1,1,0,0,1,3,0,3,3504,1260,E0A4,540,3721,1232,630,,,,,,,
note,pk6xyvl,1,0,1,1,4,0,4,4444,1440,E0A4,540,4661,1412,810,,,,,,,
note,rgx8bjh,1,0,1,1,5,0,5,5181,1260,E0A4,540,5398,1232,630,,,,,,,
note,t3elz0m,1,0,1,1,6,0,6,5918,1350,E0A4,540,6135,1322,720,,,,,,,
note,v6sh6uc,1,0,1,1,7,0,7,6655,1710,E0A4,540,6872,1682,900,,,,,,,
note,izv1mc9,1,0,2,1,8,0,8,7595,1440,E0A4,540,7812,1412,810,,,,,,,
note,k1dict13,1,0,2,1,9,0,9,8332,1440,E0A4,540,8549,1412,810,,,,,,,
note,mwxt00x,1,0,2,1,10,0,10,9069,1350,E0A4,540,9286,1322,720,,,,,,,
note,o1nwbnw5,1,0,2,1,11,0,11,9806,1260,E0A4,540,10023,1232,630,,,,,,,
note,b13viyd2,1,0,3,1,12,0,12,10746,1440,E0A3,540,10963,1412,810,,,,,,,
note,d1sqgsul,1,0,3,1,13,0,14,11868,1530,E0A3,540,12085,1502,900,,,,,,,
clef,bgevcsn,1,1,4,1,-1,-1,,90,3245,E050,2705,,,,,,,,,,
keysig,cb6l96a,1,1,4,1,-1,-1,,,,,2705,,,,,,,,,,
note,q14fmeoc,1,1,4,1,14,0,16,837,3605,E0A4,2705,1054,3577,2975,,,,,,,
note,s1f31sgl,1,1,4,1,15,0,17,1580,3605,E0A4,2705,1797,3577,2975,,,,,,,
note,u6oscn4,1,1,4,1,16,0,18,2323,3515,E0A4,2705,2540,3487,2885,,,,,,,
note,w19obtds,1,1,4,1,17,0,19,3067,3425,E0A4,2705,3284,3397,2795,,,,,,,
note,j1s8kxne,1,1,5,1,18,0,20,4015,3335,E0A4,2705,4232,3307,2705,,,,,,,
note,l1e7ub62,1,1,5,1,19,0,21,4758,3425,E0A4,2705,4975,3397,2795,,,,,,,
note,nt9ronl,1,1,5,1,20,0,22,5501,3515,E0A4,2705,5718,3487,2885,,,,,,,
note,p1ufntge,1,1,5,1,21,0,23,6245,3605,E0A4,2705,6462,3577,2975,,,,,,,
note,cg7y08o,1,1,6,1,22,0,24,7193,3695,E0A4,2705,7410,3667,3065,,,,,,,
note,efwg9mm,1,1,6,1,23,0,25,7936,3875,E0A4,2705,8153,3847,3065,,,,,,,
note,g1wpyvd,1,1,6,1,24,0,26,8679,3785,E0A4,2705,8896,3757,3065,,,,,,,
note,ipk7z6m,1,1,6,1,25,0,27,9423,3695,E0A4,2705,9640,3667,3065,,,,,,,
note,v1gxitk,1,1,7,1,26,0,28,10371,3605,E0A4,2705,10588,3577,2975,,,,,,,
note,xz5i2aa,1,1,7,1,27,0,29,11114,3605,E0A4,2705,11331,3577,2975,,,,,,,
note,z11huxwv,1,1,7,1,28,0,30,11857,3605,E0A3,2705,12074,3577,2975,,,,,,,
